Title,Company,Location,Type,Posted,Link
ITBusinessServices Intern (2026 Semester 1) - Generation H,Hermès,New York,Internship,2 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/it-business-services-intern-2026-semester-1-generation-h_new-york_HERMS_Vwd21Yq
"Director - Human ResourcesBusinessPartner, West Region",Hermès,Beverly Hills,Permanent contract,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/director-human-resources-business-partner-west-region_beverly-hills_HERMS_XQGL0D7
"Vice President, GlobalBusinessPerformance",Quadient,Boston,Permanent contract,6 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/vice-president-global-business-performance_boston
EnterpriseBusinessDevelopment Representative,DataDome,New York,Permanent contract,7 days ago,https://www.welcometothejungle.com/en/companies/datadome/jobs/enterprise-business-development-representative_new-york_DATAD_1pVqee8
BusinessDevelopment Representative,Brevo,Austin,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/business-development-representative_austin
Head ofBusinessDevelopment,Kraken,New York,Permanent contract,16 days ago,https://www.welcometothejungle.com/en/companies/kraken/jobs/head-of-business-development_new-york
BusinessValue Consultant,Mirakl,Boston,Permanent contract,18 days ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/business-value-consultant_boston_MIRAK_eYxOGYq
"StrategicBusinessDevelopment Principal, Central US",Via,Dallas,Permanent contract,19 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategic-business-development-principal-central-us_dallas
"Senior Human ResourcesBusinessPartner, Southern Region",Hermès,Miami,Permanent contract,27 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-southern-region_miami
USBusinessDeveloper - Renewable Energy SaaS,SkyVisor,"Dallas,Paris",International Corporate Volunteer Program,27 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/us-based-business-developer_paris
"StrategicBusinessDevelopment Principal, Western US",Via,Los Angeles,Permanent contract,29 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategic-business-development-principal-western-us_london
"Legal Tech Associate, IP & LicensingBusiness",Mistral Ai,Palo Alto,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/legal-tech-associate-ip-licensing-business_palo-alto
BusinessTransformation Senior Advisor,Dataiku,New York,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/business-transformation-senior-advisor_new-york
"Director of Public SectorBusinessDevelopment, Central US",Via,Chicago,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/director-of-public-sector-business-development-central-us_london
BusinessDevelopment Representative,Mirakl,Boston,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/business-development-representative_boston_MIRAK_J68Kg14
"Director ofBusinessDevelopment, Eastern US",Via,New York,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/director-of-business-development-eastern-us_georgia
"StrategicBusinessDevelopment Principal, Eastern US",Via,New York,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategic-business-development-principal-eastern-us_london
HRBusinessPartner US,Mistral Ai,Palo Alto,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/hr-business-partner-us_palo-alto
BusinessDevelopment Representative (LATAM + US),Filigran,New York,Permanent contract,2 months ago,https://www.welcometothejungle.com/en/companies/filigran/jobs/business-developer-na_new-york
Quantumbusinessoperation Internship,Alice & Bob,Boston,Internship,2 months ago,https://www.welcometothejungle.com/en/companies/alice-bob/jobs/business-development-intern_boston
"Client Development Manager, Women's Ready-to-Wear",Hermès,Beverly Hills,Permanent contract,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-women-s-ready-to-wear_beverly-hills_HERMS_N6rZZOo
Senior Director - Client Development,Hermès,New York,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-director-client-development_new-york_HERMS_wJVwz7V
Enterprise BDR,Via,New York,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/enterprise-bdr_new-york
"Client Development Manager - East Coast, MRTW & MTM",Hermès,Manhattan,Permanent contract,10 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-east-coast-mrtw-mtm_manhattan_HERMS_x9qxyk1
OEM Trade Parts BDM,MSX International,Dallas,Permanent contract,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/oem-trade-parts-bdm_dallas
Ford Connected Services Coach,MSX International,Charlotte,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/ford-connected-services-coach_charlotte
FSR+ Coach,MSX International,Southfield,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_port
BDR Ecosystem Specialist - US East Coast,Crossbeam,Philadelphia,Permanent contract,12 days ago,https://www.welcometothejungle.com/en/companies/reveal/jobs/bdr-ecosystem-specialist-us-east-coast_philadelphia
"Senior Director, Partnerships (Commercial)",Equativ,New York,Permanent contract,20 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-partnerships-commercial_new-york
"Senior Director, DSP Commercial Partnerships",Equativ,New York,Permanent contract,20 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-dsp-commercial-partnerships_new-york
US Artists Coach - Groover Club (Freelance),Groover,New York,Freelance,18 days ago,https://www.welcometothejungle.com/en/companies/groover/jobs/us-artists-coach-groover-club-freelance_new-york
Corporate Actions Analyst,Crédit Agricole CIB,Woodbridge Twp,Permanent contract,26 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/corporate-actions-analyst_woodbridge-township
"Asset Protection Specialist, Maison Madison",Hermès,New York,Permanent contract,14 hours ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/asset-protection-specialist-maison-madison_new-york
Entrepreneur en Gestion de Patrimoine (F/H) - Dpt 02,AXA,Avenel,Other,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/entrepreneur-en-gestion-de-patrimoine-f-h-dpt-02_laon_AXA_V49Z2Me
Data Analyst,MSX International,Southfield,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/data-analyst_southfield_MI_bgD2Yoy
Director of Should Cost & Competitive Benchmarking,Safran Electronics & Defense,Irvine,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/director-of-should-cost-competitive-benchmarking_irvine
"Strategy and Operations Principal, Partner Operations",Via,Fort Worth,Permanent contract,2 days ago,https://www.welcometothejungle.com/en/companies/via/jobs/strategy-and-operations-principal-partner-operations_fort-worth
